ESNTL_ID,WLK_COURS_FLAG_NM,WLK_COURS_NM,COURS_DC,SIGNGU_NM,COURS_LEVEL_NM,COURS_LT_CN,COURS_DETAIL_LT_CN,ADIT_DC,COURS_TIME_CN,OPTN_DC,TOILET_DC,CVNTL_NM,LNM_ADDR,COURS_SPOT_LA,COURS_SPOT_LO
KCCWSPO20N000000084,고덕산 산책길,고덕산 산책길,명일역3번출구~고덕산 정상,서울 강동구,보통,1~5Km미만,1.9,"해발 100m 미만의 낮고 순탄한 숲길이지만 계절 따라 순환하는 자연의 섭리를 그대로 느낄 수 있다. 고덕산은 완만한 구릉지 형태의 야산이다. 해발 50m 안팎이 대부분이고 높아야 100m를 넘지 않는다. 고덕산은 높지 않고 가볍게 오를 수 있어 산책하기 좋다. 특히, 고덕산은 북으로는 한강을 끼고 있어 탁트인 시야를 자랑한다.",1시간 30분,없음,명일역,명일역,서울 강동구 암사동,37.5611617,127.1464937
KCCWSPO20N000000085,일자산숲나들길,일자산숲 나들길,길동자연생태공원~강동그린웨이 가족캠핑장~둔촌이집선생 둔굴,서울 강동구,보통,1~5Km미만,1.9,"노선의 대부분은 차지하는 일자산은 이름 그대로 능선이 군더더기 없이 일(一)자로 뻗은 산이다. 때문에 중간 중간 갈림길이 많아도 큰 길을 따라 곧장 질러가면 3㎞에 달하는 울창한 숲길을 고스란히 두 발에 담아낼 수 있다. 특히 아름드리나무들이 많아 마치 큰 산에 들어선 듯한 청량감이 일품이다. 강동구가 야심차게 추진하고 있는 강동그린웨이를 중심으로 둔촌동 생태경관보전지역, 허브천문공원 및 길동생태공원 등 강동의 주요 명소를 연결한 코스이다. 야트막한 능선으로 뻗은 일자산 숲길을 따라 자연의 향기를 만끽할 수 있으며, 길동생태공원(사전예약 필수)은 우리나라의 대표적인 생태공원으로 계절별로 다양한 체험 프로그램이 마련되어 있다.",1시간 30분,,,,서울 강동구 둔촌동,37.534967,127.1528418
KCCWSPO20N000000086,몽촌토성나들길,몽촌토성 나들길,몽촌토성~한성백제박물관~몽촌토성길~88호수,서울 강동구,쉬움,5~10Km미만,6.14,"도시공원의 의미는 자연휴식공간이라는 데 있다. 아울러 산책로를 만들어 도시민들이 걷고 뛰며 운동할 수 있도록 하는 목적도 지녔다. 강남권 도심, 잠실 주변엔 거대한 녹지공원인 올림픽공원이 있다. 특히 석촌호수에서 가까운 올림픽공원 산책로는 백제 때 축조된 몽촌토성까지 품고 있으며 2012년에는 몽촌토성에서 찾을 수 있는 백제의 역사를 알려주는 한성백제 박물관도 개관하여 더욱 볼거리가 풍부해졌다. (‘Free course' 로 자유롭게 다닐 수 있도록 조성)",2시간,올림픽공원 내 분포,올림픽공원 내 분포,올림픽공원 내 분포,서울 송파구 방이동,37.5156355,127.1214926
KCCWSPO20N000000087,석촌호수산책길,석촌호수 산책길,석촌호수길~석촌동백제초기적성총~방이동백제고분군,서울 송파구,쉬움,1~5Km미만,4.17,"석촌호수는 자연과 인간이 힘을 합해 만든 인공호수이다. 원래는 한강의 일부분이었으나, 세월이 흐르면서 샛강이 생겼고 그 후 한강 본류 정비 사업으로 샛강이 매립되면서 인공호수가 생겨나게 되었다. 송파대로 개통으로 둘로 나눠진 이 쌍둥이 호수를 자연친화적 환경으로 정비한 것이 오늘의 석촌호수다. 호수와 인접하여 유명 놀이공원이 만들어져 있어 여러모로 볼거리와 즐길거리가 많다.",2시간,사전 준비 필요,동호와 서호에 각각 화장실 있음,길 외곽에 다수,서울 송파구 송파동,37.5095353,127.1050057
KCCWSPO20N000000089,송파소리길,역사탐방길,풍납토성근린공원 ~ 풍납토성 ~ 몽촌토성 ~ 방이동백제고분군 ~ 석촌동백제초기적석총 ~ 석촌호수,서울 송파구,쉬움,10~15Km미만,11.45,송파소리길은 송파 한 바퀴를 도는 일주코스 외에도 한성백제의 중심지이었던 풍납토성과 몽촌토성을 잇고 석촌호수를 순환하는 역사탐방길이 있다. 역사탐방길은 한성백제가 약500년 동안 도성으로 있던 풍남토성을 시작으로 다양한 송파시민에게 가장 사랑받는 올림픽 공원을 지나 방이동백제고분군과 석촌동백제초기적석총 등 한성백제의 유적지를 차례로 지난다. 마지막으로 4월에는 화려한 벚꽃 흐드러지는 석촌호수에서 마무리하는 길이다.,3시간,올림픽공원,"풍납종합사회복지관, 올림픽공원 곳곳, 석촌호수, 송파역",코스 곳곳에 위치,서울 송파구 장지동,37.4759619,127.1253897
KCCWSPO20N000000091,구룡산 나들길,구룡산 나들길,달터근린공원~구룡산길 시작~개암약수터,서울 강남구,보통,5~10Km미만,6.02,구룡산은 옛날 임신한 여인이 용 열 마리가 승천하는 것을 보고 놀라 소리치는 바람에 한 마리가 떨어져 죽고 아홉 마리만 하늘로 올라갔다 하여 붙여졌다. 코스 대부분이 숲길로 이루어져 햇빛이 비추는 여름에도 시원한 그늘 밑을 걸을 수 있으며 높거나 산길이 험하지 않아 부담 없이 산행을 즐길 수 있다. 다만 구룡산 진입로부터 개암약수터까지는 약간의 오르막이 20분 정도 진행되나 나무계단 등의 편의시설이 있어 노약자도 쉬엄쉬엄 올라가면 진행에 큰 무리는 없다.,2시간30분,개암약수터,"매봉역, 개포4동 주민센터, 강남구민체육관","매봉역, 달터공원 주변",서울 서초구 염곡동,37.4660639,127.0491853
KCCWSPO20N000000092,대모산 나들길,대모산 나들길,실로암 약수터~대모산 초소위~독도모형~대모산 정상,서울 강남구,보통,5~10Km미만,4.8,"코스 대부분이 숲길이며, 대모산은 해발 293m의 야트막한 산으로 서쪽의 구룡산과 능선을 나란히 하고 있어 연결하여 많은 사람들이 걷는다. 예전에는 국수봉이라고 불렸던 산으로 인근에 아파트단지들이 많이 들어서 주민들의 휴식공간으로 이용되고 있다. 아침 운동이나 가벼운 산책을 즐기려는 주민들이 많이 찾는다. 동쪽 끝은 수서역 4번 출구와 맞닿아 있다. 대모산도시자연공원부터 불국사까지는 넓고 완만한 경사로가 이어져 어린자녀와 함께 산책하며 걷기에 그만이다. 불국사부터는 서울둘레길과 함께 한다. 서울둘레길은 구룡산으로 이어지는데 대모산 나들길은 대모산 정상으로 발걸음을 옮긴다.",3시간,대모산도시자연공원(코스 중간에 약수터가 있으나 갈수기에는 식음불가가 많다),"일원역, 대모산도시자연공원, 불국사",일원역 일대,서울 강남구 개포동,37.477148,127.073712
KCCWSPO20N000000093,선정릉 나들길,선정릉 나들길,선정릉~봉은사,서울 강남구,보통,5~10Km미만,5.9,"2009년 6월에 유네스코 세계문화유산으로 등재된 조선 왕릉의 하나인 선정릉을 거쳐 전통사찰인 봉은사를 지나는 코스이다. 조선 제 9대 왕인 성종과 계비 정현왕후의 능인 선릉과 함께 조선 11대 왕인 중종의 능이 모셔진 곳으로 이 두 능침 사이로 나 있는 야트막한 언덕으로 걷기 좋은 산책로가 세 가닥이나 뻗었다. 봉은사 역시 볼만한 전각들이 많으며, 특히 미륵대불은 언제나 소원을 빌러 오는 신자들로 붐빈다.",2시간,없음,"선정릉, 봉은사, 삼성역",선정릉과 봉은사 가는 길에 다수 분포,서울 강남구 삼성동,37.5071339,127.0526324
KCCWSPO20N000000094,서리골 서리풀 나들길,서리골 서리풀 나들길,서리골공원~몽마르뜨공원~서리풀공원,서울 서초구,보통,1~5Km미만,3.25,"고층아파트가 스카이라인을 이룬 이곳에 어찌 이리 아름다운 숲길을 허락했을까. 걷는 이들마다 의아해하고, 신기해하고, 끝내는 감사해하는 숲길이다. 이 숲길을 품은 산줄기는 원래 하나였으나 차도가 금을 그으며 생이별을 하고 말았다. 얼마 전까지도 찻길을 건너야만 숲길을 이어갈 수 있었으나 2009년 말 서리골공원과 몽마르뜨공원이 누에다리로 이어지고, 그와 동시에 몽마르뜨공원이 서리풀공원과 서리풀다리로 이어지며 다시 하나의 식구가 됐다.",2시간,사전에 준비 필요,몽마르뜨 공원,공원 입구에 위치,서울 서초구 반포동,37.4928485,127.0016464
KCCWSPO20N000000096,동작충효길,01코스 고구동산길,배수지공원~노들역~고구동산~중앙대 후문~서달산 잣나무길~자연학습장~서달산 생태다리~동작대 전망대~현충원 상도출입문,서울 동작구,쉬움,1~5Km미만,3.2,"쾌적하게 정비된 배수지공원은 지하철 9호선 노들역과 연결되어 있어 만남의 장소로 일익을 담당한다. 배수지공원에서 출발해 고구동산 정상, 서달산 잣나물길과 서달산 생태다리, 상도출입문까지 이어지는 1코스 고구동산길을 걷노라면 벚나무와 잣나무 등 숨쉬기만해도 즐거워지는 동작의 자연을 감상할 수 있다. 걷기여행객이라면 동작충효길의 각코스는 조금 짧게 느껴질 것이다. 1코스는 2코스와 연계하여 걷는 것이 더욱 좋다. 여행을 2코스를 이어서 여행하면 대중교통 이용도 편리하다.",1시간,달마약수터,"9호선 노들역사내, 고구동산 트랙옆, 달마사앞, 서달산 생태다리 주변",중앙대후문 부근 편의점 위치함,서울 동작구 사당동,37.4945288,126.9744481
